,DATE,EXP,GPE,JOB,ORG,Resume_Name
34,February 2014 to August 2016,"
• Successfully prepared for tests (IELTS, GRE) and requirements to apply for Master's Degrees program
Developer",,Freelancer/Student,Studied English at LADO International Institute,100280470.pdf
35,June 2012 to January 2014,"
• Developed and implemented a social network site between businesses to share information
• Created, provided and analyzed APIs services for mobile applications to share, listen to music and
socialize
• Designed and implemented many frontend websites in different fields
• Managed and optimized database system for several projects",,,QSOFT,100280470.pdf
36,April 2011 to P,"
- Wrote custom Nagios scripts using JUNOScript API to monitor switch health and trigger configuration
change events to decrease downtime
- Implemented Ansible automation for Juniper and Linux systems to reduce errors and standardize the
environment
- Built network registration system on Linux, Apache, PostrgreSQL, and Perl for tracking student device
ownership
- Automated processing of DMCA notifications: ingesting notification emails, query network registration
system, generate student notifications, and removing access
- Created Python and XSLT script to parse Juniper interface statistics, send data to Graphite, and create
HTML files to browse network graphs
- Python script to correlate BGP routes and traffic logs to determine top bandwidth sources and
destinations
- Script to load Palo Alto firewall logs and configuration to cleanup unreferenced objects, refactor
security zones, and enhance security rules
- Installed OpenShift for Docker container environment and develop containerized web applications
- Wrote Ruby script to sync Active Directory information into Zendesk
- Set up RANCID with Subversion and additional custom scripts for network device configuration
change management keeping the networking team notified of changes
- Plan and coordinate datacenter move from on-site to co-location facility: rack layout, cross connect
moves, network rework, power off and power on of environment
- Train and develop skills of new and current team members",,Network Administrator/Engineer,Emerson College,100314900.pdf
37,September 2004 to April 2011,"
and firewalls.
- Configured and maintained BGP peering with multiple ISPs, implemented OSPF, configured and
monitored PIM routing and other multicast routing issues.
- Maintained firewall policy and static routes.
- Analyzed packet traces to diagnose server and network problems, firewall and IPS behavior.
- Researched and recommended new security and core network equipment and software.
- Installed and managed wireless network of over 400 APs using 802.1x authentication against RADIUS
servers.
- Advised on AP placement for coverage and channel assignment.
- Maintained a multi-master DNS environment with internal DNS run on Active Directory integrated
zones and external queries handled by BIND9 on Linux.
- Installed and recommended upgrades of PureMessage for Linux anti-spam mail gateways handling all
inbound mail from the Internet.
- Managed Windows Active Directory with over 10,000 accounts and created scripts for automating
account creation for over 1,000 new students every year.
- Monitored Microsoft Exchange environment with over 10,000 mailboxes.
- Planned and performed Exchange upgrades from 2000 to versions 2003 and 2007 in clustered
environments.
- Managed private Certificate Authority with subordinate Microsoft Certificate Services and maintained
a certificate revocation list.
- Performed system administration tasks, such as applying patches, and administrating group policies.",,Systems Analyst,Emerson College,100314900.pdf
38,Mar 2019 – P,"
Focuses included:
Implementing Lambda APIs
Implementing Monitoring
Automating software build processes with BuildBot
Automating hardware production processes with AWS IOT Core
Redshift administration
Software development process change",,Software Development Engineer,Centra Tech Solutions,100326001.pdf
39,Apr 2017 – Mar 2019,"
Focusses include:
Managing Agile Ceremonies
Scrum team management of the software/firmware and hardware teams
Epic planning, analysis and writing
Achievements have included:
Regular completed fortnightly sprints
Moving the firmware team from irregular releases to delivering new
software and updates on a regular basis
Transitioning the hardware team from having no methodology or regular
delivery to an regularly delivering team with scrum",,Scrum Master,Cornerstone Solutions,100326001.pdf
40,Feb 2015 – P,"
C/C++ on Beaglebone SOC and AVR
Windows Server/IIS management with Powershell
Achievements have included:
Re-architecting the mail interface
Re-architecting the external storage interface to support AWS, Dropbox,",,Software Development Engineer,Python,100326001.pdf
41,,"
Developing an automatic time-lapse generation tool
Training new graduates to work within a professional software team
Other work experience",,,FTP and Aconex,100326001.pdf
42,Dec 2013 – Jul 2014,"
Governance officer",,Junior Legal Counsel,Country Fire Authority,100326001.pdf
43,Apr 2012 – Dec 2013,"
Private Guitar Teaching
Private Game Development (Non professionally)
Demonstrated skills
Project management
My role as a scrum master has incorporated managing a team and projects from
conception, to planning, to execution, to testing, to release. I have demonstrated an ability
to have projects appropriately scoped and scheduled.
Communication
My legal training and finance training combined with my experience in software has given
me an ability to communicate with people involved in business operations and
requirements, as well as software developers. My scrum master role involves regular
presentations to the rest of the company. I am ideally placed for understanding business
requirements from a software perspective.
Software architecture
My software development role has involved significant rework of legacy code as well as
planning new code. Due to the scale of the codebase and ongoing operations of the
photoSentinel product, these changes required significant planning. The rearchitecture
projects have resulted in a codebase that is more reliable, enforces data consistency, and
significantly improves the team’s ability to add new features to the code.",,,,100326001.pdf
44,08/2015—P,"
• Led a team of 4 research assistants for the development of open-source packages in both MATLAB and R
(https://github.com/CABSEL/CALISTA and https://github.com/CABSEL/SINCERITIES ).
• Mentored 1 visiting PhD student from Zhejiang University and 2 Master students in ETH Zurich on their research
projects. Trained undergraduates in Chemistry courses.
• Published 4 refereed journal articles in MDPI Processes (2018), Bioinformatics (2017), PLoS Biology (2016) top
50 most downloaded, IFACPapersOnLine (2016).
Master’s Researcher",,Chemical and Biological System Engineering Laboratory,Biel,100334882.pdf
45,09/2014—02/2015,"
Tested and compared the performance of different models using in silico data and cross-validation.
Developed an algorithm for bacteriophage quantification in MATLAB. The approach adopts ordinary
differential equations (ODEs) describing phage-host interaction.
Spearheaded collaboration between 2 group leaders for thesis work.
Assisted in lab maintenance and organization.
Developed experimental protocols and mentored graduate students.",,,"University of Warwick, School of Life Sciences",100334882.pdf
46,MAY 2017 – ,"
Automation Engineer / Beyondsoft International PTE. LTD,
Singapore (on-site HP Inc.)
1. Design, develop, and maintain scripts and web applications for testing purpose
2. Package executing environments and deliver them to the corresponding testing team
with VMware or docker
3. Work closely with R&D developers, managers and testing teams to identify critical
testing scenarios for automation
4. Provide test and ROI reports for the management
5. Guide and mentor cross team members to write and execute automation test cases",,Automation Engineer / Beyondsoft International PTE LTD,,100371795.pdf
47,APRIL 2015 – ,"
Automation Engineer / Huiyingjinfu Co. LTD, China
1. Design, develop, and maintain automated testing script and other web applications for
financial system
2. Work closely with development, business and manual testing team to identify critical
business scenarios for automation
3. Quantify and estimate automation activities
4. Design automation test cases for Web, API and mobile tests
5. Guide and mentor cross team members to write and execute automation test cases",,Automation Engineer / Huiyingjinfu Co LTD,,100371795.pdf
48,SPET 2013 – ,,,Software Developer / China,Canada Technology Co LTD,100371795.pdf
49,JULY 2012 – ,"
Inc., Canada
1. Develop and maintain web and mobile applications in Python and JavaScript
2. Provide IT support and create project wiki
3. Responsible for CentOS server maintenance",,Software Developer / Rowan Williams Davies and Irwin,Inc,100371795.pdf
50,May 2015-Aug 2015,"
Hewlett-Packard",,Software Engineer Intern,"Hewlett, Packard",10051187.pdf
51,June 2013-May 2015,,,Software Engineering Intern,TX,10051187.pdf
